CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerStatus,WarehouseDistanceBand,TenureBand,CashbackBand,RecencyScore,FrequencyScore,ChurnProbability,PredictedChurn,RiskBand,RiskRank
50033,0,30.0,Phone,1,15.0,CC,Female,3.0,4,Mobile Phone,4,Divorced,5,1,20.0,1.0,1.0,0.0,133,Stayed,Close,25+ months,Moderate,5,1,0.0017,0,Low,3508
50034,0,13.0,Phone,3,10.0,E wallet,Male,3.0,4,Fashion,2,Divorced,8,0,11.0,2.0,2.0,11.0,209,Stayed,Very close,13–24 months,High,1,2,0.5474,1,High,1146
50035,0,10.19,Computer,3,8.0,E wallet,Female,3.0,3,Mobile Phone,3,Divorced,7,0,18.0,1.0,1.0,2.0,122,Stayed,Very close,7–12 months,Moderate,5,1,0.5669,1,High,1104
50036,0,0.0,Phone,1,15.6,CC,Male,3.0,3,Mobile Phone,2,Divorced,2,0,24.0,0.0,2.0,2.0,123,Stayed,Close,0–6 months,Moderate,5,2,0.3698,0,Medium,1641
50037,0,10.19,Computer,1,15.0,CC,Male,2.0,3,Mobile Phone,4,Married,7,0,18.0,0.0,2.0,2.0,120,Stayed,Close,7–12 months,Moderate,5,2,0.363,0,Medium,1666
50038,0,1.0,Phone,1,27.0,CC,Male,2.93,3,Mobile Phone,2,Divorced,2,0,11.0,0.0,1.0,2.0,127,Stayed,Moderate,0–6 months,Moderate,5,1,0.498,0,High,1269
50039,0,30.0,Phone,1,30.0,Debit Card,Male,2.0,2,Fashion,2,Married,4,1,16.0,1.0,1.0,4.0,194,Stayed,Moderate,25+ months,Moderate,3,1,0.0006,0,Low,3519
50040,0,0.0,Computer,1,15.6,CC,Male,3.0,4,Mobile Phone,3,Married,2,1,15.0,0.0,1.0,1.0,126,Stayed,Close,0–6 months,Moderate,5,1,0.8983,1,High,288
50041,0,23.0,Phone,1,17.0,Debit Card,Female,2.0,3,Others,4,Single,4,0,15.71,2.0,4.0,4.0,299,Stayed,Close,13–24 months,High,3,4,0.0371,0,Low,3214
50042,0,14.0,Phone,1,15.6,Debit Card,Male,2.0,3,Mobile Phone,3,Married,5,0,12.0,1.0,1.0,8.0,125,Stayed,Close,13–24 months,Moderate,2,1,0.163,0,Medium,2452
50043,0,3.0,Phone,3,11.0,Debit Card,Female,2.0,3,Fashion,2,Divorced,3,0,12.0,2.0,7.0,4.0,194,Stayed,Close,0–6 months,Moderate,3,5,0.309,0,Medium,1848
50044,0,11.0,Phone,3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,5,0,22.0,1.0,1.0,1.0,187,Stayed,Very close,7–12 months,Moderate,5,1,0.0376,0,Low,3209
50045,0,5.0,Phone,1,12.0,Debit Card,Male,2.93,3,Mobile Phone,3,Single,4,0,20.0,0.0,1.0,4.0,130,Stayed,Close,0–6 months,Moderate,3,1,0.2812,0,Medium,1955
50046,0,0.0,Phone,1,23.0,Cash on Delivery,Male,2.93,3,Mobile Phone,4,Divorced,1,1,16.0,1.0,1.0,1.0,131,Stayed,Moderate,0–6 months,Moderate,5,1,0.9354,1,High,183
50047,1,0.0,Computer,3,15.6,Cash on Delivery,Female,3.0,5,Mobile Phone,5,Single,1,0,21.0,1.0,1.0,0.0,123,Churned,Close,0–6 months,Moderate,5,1,0.9799,1,High,40
50048,0,10.19,Computer,1,9.0,CC,Male,1.0,3,Mobile Phone,4,Single,5,0,12.0,4.0,7.0,2.0,121,Stayed,Very close,7–12 months,Moderate,5,5,0.694,1,High,813
50049,0,3.0,Computer,1,15.0,CC,Male,2.93,3,Laptop & Accessory,5,Married,2,0,11.0,0.0,6.0,10.0,131,Stayed,Close,0–6 months,Moderate,1,5,0.1787,0,Medium,2380
50050,0,18.0,Phone,3,10.0,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,5,1,11.0,0.0,1.0,3.0,150,Stayed,Very close,13–24 months,Moderate,4,1,0.197,0,Medium,2298
50051,0,29.0,Phone,1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,18.0,1.0,2.0,2.0,143,Stayed,Close,25+ months,Moderate,5,2,0.0015,0,Low,3510
50052,0,6.0,Phone,1,15.6,Debit Card,Male,2.0,3,Mobile Phone,2,Single,1,0,14.0,0.0,1.0,2.0,125,Stayed,Close,0–6 months,Moderate,5,1,0.2102,0,Medium,2233
50053,1,0.0,Phone,1,8.0,Debit Card,Male,2.0,4,Mobile Phone,2,Single,2,0,22.0,0.0,1.0,0.0,111,Churned,Very close,0–6 months,Moderate,5,1,0.7603,1,High,651
50054,0,19.0,Phone,3,6.0,E wallet,Female,3.0,3,Fashion,5,Married,2,0,25.0,4.0,15.0,7.0,205,Stayed,Very close,13–24 months,High,2,5,0.1864,0,Medium,2351
50055,0,10.19,Phone,1,15.0,Debit Card,Female,3.0,3,Mobile Phone,2,Single,2,0,12.0,1.0,2.0,1.0,123,Stayed,Close,7–12 months,Moderate,5,2,0.1866,0,Medium,2350
50056,0,4.0,Phone,1,18.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,9,1,23.0,1.0,1.0,2.0,139,Stayed,Close,0–6 months,Moderate,5,1,0.7577,1,High,657
50057,0,10.19,Phone,1,33.0,CC,Female,3.0,3,Mobile Phone,4,Single,3,0,15.0,1.0,1.0,2.0,123,Stayed,Far,7–12 months,Moderate,5,1,0.3209,0,Medium,1812
50058,1,4.0,Phone,3,26.0,E wallet,Female,2.93,3,Mobile Phone,4,Single,2,1,22.0,0.0,1.0,2.0,131,Churned,Moderate,0–6 months,Moderate,5,1,0.9329,1,High,193
50059,0,23.0,Phone,1,6.0,Credit Card,Male,2.0,4,Mobile Phone,3,Divorced,3,0,15.0,0.0,1.0,2.0,137,Stayed,Very close,13–24 months,Moderate,5,1,0.0079,0,Low,3452
50060,0,26.0,Phone,1,19.0,Credit Card,Female,2.0,2,Laptop & Accessory,5,Married,2,0,11.0,1.0,1.0,3.0,145,Stayed,Close,25+ months,Moderate,4,1,0.0002,0,Low,3523
50061,0,6.0,Phone,1,20.0,CC,Female,2.93,3,Mobile Phone,4,Divorced,2,0,13.0,0.0,1.0,6.0,128,Stayed,Close,0–6 months,Moderate,2,1,0.1177,0,Medium,2687
50062,0,13.0,Phone,1,10.0,Credit Card,Female,2.0,3,Others,3,Divorced,2,0,14.0,1.75,9.0,9.0,290,Stayed,Very close,13–24 months,High,1,5,0.1478,0,Medium,2523
50063,0,28.0,Phone,1,20.0,Credit Card,Male,3.0,2,Others,4,Single,9,0,11.0,1.75,2.0,15.0,287,Stayed,Close,25+ months,High,1,2,0.0017,0,Low,3508
50064,0,7.0,Computer,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,0,17.0,0.0,1.0,9.0,195,Stayed,Very close,7–12 months,Moderate,1,1,0.0162,0,Low,3377
50065,0,24.0,Phone,1,9.0,Credit Card,Female,3.0,3,Grocery,4,Single,4,0,18.0,0.0,3.01,0.0,237,Stayed,Very close,13–24 months,High,5,4,0.0084,0,Low,3448
50066,0,25.0,Phone,1,6.0,Debit Card,Male,3.0,4,Others,3,Divorced,1,0,15.71,1.0,11.0,9.0,300,Stayed,Very close,25+ months,High,1,5,0.0008,0,Low,3517
50067,0,10.19,Phone,1,15.0,CC,Female,2.0,3,Mobile Phone,4,Single,2,0,16.0,1.0,1.0,3.0,123,Stayed,Close,7–12 months,Moderate,4,1,0.1534,0,Medium,2493
50068,1,0.0,Phone,1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,4,1,13.0,1.0,1.0,1.0,159,Churned,Moderate,0–6 months,Moderate,5,1,0.8792,1,High,339
50069,0,10.19,Computer,1,13.0,CC,Male,2.0,2,Mobile Phone,2,Married,5,0,14.0,0.0,2.0,2.0,121,Stayed,Close,7–12 months,Moderate,5,2,0.1085,0,Medium,2739
50070,0,18.0,Computer,1,8.0,Credit Card,Male,3.0,4,Grocery,2,Divorced,10,0,23.0,1.75,11.0,8.0,268,Stayed,Very close,13–24 months,High,2,5,0.0881,0,Low,2871
50071,0,10.0,Phone,1,27.0,Debit Card,Male,3.0,2,Mobile Phone,5,Divorced,2,1,12.0,0.0,1.0,7.0,136,Stayed,Moderate,7–12 months,Moderate,2,1,0.4127,0,Medium,1495
50072,0,8.0,Computer,1,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Single,6,0,11.0,1.0,1.0,2.0,144,Stayed,Very close,7–12 months,Moderate,5,1,0.2955,0,Medium,1901
50073,0,15.0,Computer,1,27.0,Credit Card,Female,2.0,3,Laptop & Accessory,3,Married,3,0,16.0,0.0,1.0,2.0,153,Stayed,Moderate,13–24 months,Moderate,5,1,0.0475,0,Low,3135
50074,0,11.0,Phone,1,8.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,10,0,14.0,0.0,1.0,0.0,166,Stayed,Very close,7–12 months,Moderate,5,1,0.0839,0,Low,2897
50075,0,11.0,Phone,1,35.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,18.0,0.0,1.0,7.0,163,Stayed,Far,7–12 months,Moderate,2,1,0.0383,0,Low,3203
50076,0,0.0,Computer,1,6.0,Cash on Delivery,Male,2.0,4,Laptop & Accessory,5,Divorced,6,0,19.0,0.0,2.0,0.0,143,Stayed,Very close,0–6 months,Moderate,5,2,0.8207,1,High,482
50077,0,22.0,Computer,1,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Married,2,1,15.0,0.0,1.0,7.0,168,Stayed,Moderate,13–24 months,Moderate,2,1,0.0081,0,Low,3450
50078,0,7.0,Computer,1,16.0,Credit Card,Male,2.0,3,Mobile Phone,3,Married,2,1,17.0,2.0,2.0,0.0,138,Stayed,Close,7–12 months,Moderate,5,2,0.6748,1,High,864
50079,0,13.0,Phone,1,25.0,CC,Male,2.93,3,Laptop & Accessory,2,Divorced,9,1,15.0,1.0,3.0,7.0,127,Stayed,Moderate,13–24 months,Moderate,2,4,0.5969,1,High,1037
50080,1,1.0,Phone,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,1,19.0,0.0,1.0,0.0,167,Churned,Far,0–6 months,Moderate,5,1,0.8937,1,High,298
50081,1,0.0,Phone,3,33.0,E wallet,Female,2.0,3,Fashion,2,Divorced,2,0,22.0,1.0,1.0,9.0,176,Churned,Far,0–6 months,Moderate,1,1,0.5334,1,High,1181
50082,0,0.0,Phone,1,15.6,Debit Card,Male,2.0,2,Mobile Phone,4,Married,2,1,16.0,0.0,2.0,2.0,123,Stayed,Close,0–6 months,Moderate,5,2,0.8283,1,High,465
50083,0,10.19,Computer,1,24.0,CC,Female,3.0,3,Mobile Phone,2,Single,2,0,13.0,1.0,1.0,7.0,122,Stayed,Moderate,7–12 months,Moderate,2,1,0.1471,0,Medium,2528
50084,0,13.0,Computer,1,15.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,10,0,14.0,1.0,1.0,2.0,149,Stayed,Close,13–24 months,Moderate,5,1,0.421,0,Medium,1468
50085,0,19.0,Phone,1,6.0,Credit Card,Male,3.0,3,Fashion,5,Married,8,0,16.0,0.0,1.0,3.0,194,Stayed,Very close,13–24 months,Moderate,4,1,0.0462,0,Low,3145
50086,1,0.0,Phone,3,10.0,Credit Card,Male,2.0,5,Fashion,2,Divorced,2,0,11.0,7.0,9.0,8.0,204,Churned,Very close,0–6 months,High,2,5,0.8811,1,High,334
50087,0,3.0,Computer,1,6.0,Debit Card,Male,2.0,4,Fashion,3,Single,2,0,22.0,2.0,5.0,8.0,185,Stayed,Very close,0–6 months,Moderate,2,5,0.3718,0,Medium,1629
50088,0,0.0,Computer,3,26.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,2,0,14.0,1.0,1.0,7.0,200,Stayed,Moderate,0–6 months,Moderate,2,1,0.2961,0,Medium,1898
50089,0,24.0,Phone,1,14.0,Debit Card,Male,2.0,4,Fashion,4,Divorced,6,0,16.0,1.0,4.0,4.54,225,Stayed,Close,13–24 months,High,3,4,0.0153,0,Low,3386
50090,1,0.0,Phone,1,15.6,Cash on Delivery,Female,2.0,3,Mobile Phone,5,Single,6,1,11.0,1.0,1.0,4.0,127,Churned,Close,0–6 months,Moderate,3,1,0.9861,1,High,22
50091,0,14.0,Phone,3,12.0,Debit Card,Female,3.0,3,Fashion,2,Single,4,1,18.0,0.0,3.01,0.0,236,Stayed,Close,13–24 months,High,5,4,0.4915,0,High,1279
50092,1,0.0,Computer,3,32.0,E wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,0,15.0,0.0,1.0,1.0,167,Churned,Far,0–6 months,Moderate,5,1,0.9398,1,High,168
50093,1,10.19,Phone,1,6.0,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,1,0,14.0,0.0,1.0,5.0,121,Churned,Very close,7–12 months,Moderate,2,1,0.1712,0,Medium,2419
50094,0,18.0,Computer,3,12.0,Credit Card,Female,2.0,4,Fashion,2,Single,7,0,12.0,12.0,12.0,8.0,189,Stayed,Close,13–24 months,Moderate,2,5,0.7087,1,High,780
50095,0,27.0,Phone,3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Divorced,3,0,14.0,1.0,1.0,5.0,159,Stayed,Very close,25+ months,Moderate,2,1,0.0003,0,Low,3522
50096,0,9.0,Phone,1,11.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,9,0,16.0,0.0,3.0,7.0,159,Stayed,Close,7–12 months,Moderate,2,4,0.1622,0,Medium,2454
50097,0,6.0,Phone,1,15.6,CC,Female,2.0,4,Mobile Phone,4,Divorced,7,0,21.0,0.0,1.0,1.0,126,Stayed,Close,0–6 months,Moderate,5,1,0.3655,0,Medium,1658
50098,0,10.0,Computer,1,17.0,UPI,Male,2.0,3,Fashion,2,Married,2,1,14.0,0.0,1.0,4.54,222,Stayed,Close,7–12 months,High,3,1,0.1748,0,Medium,2400
50099,0,11.0,Phone,3,9.0,Debit Card,Male,3.0,3,Fashion,3,Married,1,0,12.0,1.0,5.0,13.0,206,Stayed,Very close,7–12 months,High,1,5,0.0416,0,Low,3181
50100,0,4.0,Computer,1,6.0,Credit Card,Male,2.0,5,Laptop & Accessory,3,Divorced,1,0,12.0,1.0,1.0,4.0,143,Stayed,Very close,0–6 months,Moderate,3,1,0.1137,0,Medium,2709
50101,0,10.19,Phone,1,9.0,Debit Card,Male,3.0,4,Mobile Phone,2,Divorced,4,0,17.0,0.0,1.0,0.0,122,Stayed,Very close,7–12 months,Moderate,5,1,0.2001,0,Medium,2283
50102,0,10.0,Computer,3,10.0,E wallet,Male,2.0,3,Mobile Phone,2,Married,5,0,17.0,1.0,5.0,8.0,0,Stayed,Very close,7–12 months,Low,2,5,0.6016,1,High,1026
50103,0,2.0,Computer,3,6.0,Credit Card,Female,2.0,3,Fashion,2,Divorced,2,0,14.0,4.0,4.0,1.0,179,Stayed,Very close,0–6 months,Moderate,5,4,0.4901,0,High,1281
50104,0,8.0,Computer,3,6.0,E wallet,Female,3.0,3,Fashion,3,Single,2,0,14.0,1.0,1.0,8.0,188,Stayed,Very close,7–12 months,Moderate,2,1,0.2839,0,Medium,1944
50105,1,0.0,Phone,1,15.6,CC,Male,2.0,4,Mobile Phone,2,Single,2,1,13.0,0.0,1.0,1.0,124,Churned,Close,0–6 months,Moderate,5,1,0.9245,1,High,219
50106,0,25.0,Phone,1,8.0,Debit Card,Female,2.0,4,Mobile Phone,2,Single,8,0,15.0,0.0,2.0,2.0,132,Stayed,Very close,25+ months,Moderate,5,2,0.0042,0,Low,3483
50107,0,15.0,Phone,1,10.0,Cash on Delivery,Male,2.0,3,Others,2,Divorced,2,0,15.71,0.0,11.0,15.0,292,Stayed,Very close,13–24 months,High,1,5,0.1073,0,Medium,2748
50108,0,10.19,Phone,2,12.0,CC,Male,2.0,3,Mobile Phone,3,Divorced,9,0,17.0,2.0,2.0,2.0,123,Stayed,Close,7–12 months,Moderate,5,2,0.4049,0,Medium,1524
50109,0,23.0,Phone,3,6.0,Credit Card,Female,3.0,3,Others,2,Married,4,0,15.71,1.0,1.0,6.0,295,Stayed,Very close,13–24 months,High,2,1,0.0054,0,Low,3474
50110,1,0.0,Phone,1,15.6,CC,Male,2.0,3,Mobile Phone,2,Divorced,6,1,13.0,0.0,1.0,4.0,124,Churned,Close,0–6 months,Moderate,3,1,0.8755,1,High,351
50111,0,16.0,Phone,3,22.0,E wallet,Female,3.0,3,Grocery,2,Divorced,6,1,22.0,0.0,3.01,9.0,261,Stayed,Moderate,13–24 months,High,1,4,0.1552,0,Medium,2484
50112,1,0.0,Phone,1,8.0,Debit Card,Female,2.93,3,Mobile Phone,5,Divorced,8,0,20.0,1.0,1.0,7.0,127,Churned,Very close,0–6 months,Moderate,2,1,0.7008,1,High,806
50113,0,25.0,Computer,3,8.0,Debit Card,Male,3.0,4,Others,3,Single,2,1,18.0,1.75,15.0,12.0,291,Stayed,Very close,25+ months,High,1,5,0.0709,0,Low,2987
50114,0,5.0,Phone,3,10.0,Debit Card,Female,2.0,3,Mobile Phone,4,Divorced,3,0,11.0,1.0,1.0,2.0,139,Stayed,Very close,0–6 months,Moderate,5,1,0.3574,0,Medium,1682
50115,1,0.0,Phone,1,6.0,Debit Card,Male,3.0,4,Mobile Phone,3,Single,1,1,14.0,1.0,1.0,2.0,137,Churned,Very close,0–6 months,Moderate,5,1,0.8767,1,High,345
50116,0,10.19,Phone,1,6.0,CC,Female,3.0,3,Mobile Phone,3,Married,8,0,14.0,0.0,1.0,2.0,122,Stayed,Very close,7–12 months,Moderate,5,1,0.1315,0,Medium,2614
50117,0,5.0,Computer,3,32.0,E wallet,Male,3.0,3,Laptop & Accessory,2,Divorced,1,0,18.0,1.0,2.0,2.0,145,Stayed,Far,0–6 months,Moderate,5,2,0.2665,0,Medium,2005
50118,0,14.0,Phone,1,25.0,Debit Card,Male,2.93,3,Laptop & Accessory,5,Married,3,0,16.0,1.0,1.0,0.0,131,Stayed,Moderate,13–24 months,Moderate,5,1,0.208,0,Medium,2245
50119,0,13.0,Phone,1,30.0,Cash on Delivery,Male,3.0,3,Laptop & Accessory,2,Married,2,0,17.0,2.0,4.0,7.0,133,Stayed,Moderate,13–24 months,Moderate,2,4,0.1868,0,Medium,2349
50120,0,18.0,Phone,1,6.0,UPI,Male,3.0,2,Others,2,Divorced,1,0,15.71,1.0,1.0,7.0,292,Stayed,Very close,13–24 months,High,2,1,0.0056,0,Low,3472
50121,0,4.0,Computer,1,9.0,Credit Card,Male,3.0,3,Fashion,3,Married,10,0,12.0,1.0,3.01,2.0,237,Stayed,Very close,0–6 months,High,5,4,0.4495,0,High,1385
50122,0,6.0,Phone,1,11.0,Debit Card,Female,2.93,4,Mobile Phone,2,Divorced,2,0,13.0,0.0,1.0,2.0,129,Stayed,Close,0–6 months,Moderate,5,1,0.0868,0,Low,2882
50123,0,7.0,Phone,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Divorced,7,0,13.0,0.0,5.0,9.0,160,Stayed,Very close,7–12 months,Moderate,1,5,0.1992,0,Medium,2288
50124,0,10.0,Phone,1,6.0,Credit Card,Female,2.0,4,Mobile Phone,5,Divorced,3,0,14.0,1.0,1.0,2.0,139,Stayed,Very close,7–12 months,Moderate,5,1,0.1118,0,Medium,2721
50125,0,18.0,Computer,1,13.0,Debit Card,Male,3.0,2,Laptop & Accessory,3,Divorced,5,0,17.0,0.0,1.0,2.0,164,Stayed,Close,13–24 months,Moderate,5,1,0.0128,0,Low,3407
50126,1,0.0,Computer,1,16.0,Credit Card,Male,3.0,3,Fashion,3,Married,7,0,11.0,1.0,1.0,0.0,200,Churned,Close,0–6 months,Moderate,5,1,0.7405,1,High,696
50127,0,12.0,Computer,1,8.0,Cash on Delivery,Female,3.0,3,Fashion,3,Single,1,0,25.0,10.0,11.0,4.54,209,Stayed,Very close,7–12 months,High,3,5,0.3778,0,Medium,1606
50128,0,2.0,Phone,1,15.6,Debit Card,Male,2.0,3,Mobile Phone,2,Single,2,0,19.0,0.0,1.0,5.0,123,Stayed,Close,0–6 months,Moderate,2,1,0.4243,0,Medium,1455
50129,0,15.0,Phone,1,23.0,Debit Card,Female,2.0,2,Laptop & Accessory,5,Single,4,1,13.0,0.0,1.0,2.0,165,Stayed,Moderate,13–24 months,Moderate,5,1,0.2624,0,Medium,2019
