OrderNumber,ProductKey,CustomerKey,OrderDate,ShippingDate,DueDate,SalesAmount,Quantity,Price
SO43730,36,14862,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,79,5630,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,32,26,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,77,16578,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,77,16605,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,80,5523,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,36,3,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,76,2262,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,77,607,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,80,2564,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,77,5528,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,80,16672,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,79,2577,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,37,8,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,78,5632,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,76,5515,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,77,5617,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,79,16624,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,78,16626,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,79,16637,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,76,592,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,78,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,76,2266,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,80,5483,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,77,16618,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,76,16671,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,45,8942,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,32,18,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,80,16647,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,80,2258,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,79,5353,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,80,5494,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,79,16579,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,78,5526,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,80,5613,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,36,11,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,78,5519,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,32,2,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,77,16650,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,77,10660,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,77,16615,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,50,3560,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,77,5525,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,79,5527,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,78,5349,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,37,28,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,79,2261,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,76,5516,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,35,19,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,48,14253,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,76,600,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,77,5496,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,77,5517,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,77,5621,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,80,16668,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,76,602,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,76,608,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,34,18386,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,33,240,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,33,14866,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,34,14858,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,79,5485,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,77,5624,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,34,1,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,37,30,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,77,16616,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,44,6957,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,77,5346,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,80,5522,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,77,5637,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,76,10711,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,76,2584,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,77,594,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,79,10742,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,80,2586,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,49,3511,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,77,5524,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,77,612,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,78,2260,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,80,5351,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43810,35,5,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,36,27,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,77,16663,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,32,17391,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,32,14867,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,76,5495,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,79,5497,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,80,5520,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,77,5529,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,36,7,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,77,16652,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,80,16664,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,78,16670,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,44,8943,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,42,3559,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,78,5350,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,30,9,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,42,14251,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,80,16606,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,80,16612,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,76,5348,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,31,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,80,2585,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,80,10728,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,30,17394,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,30,8803,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,53,15621,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,32,10,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43838,78,16642,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43839,76,16674,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43840,48,6958,2011-01-28,2011-02-04,2011-02-09,699,1,699
SO43841,79,2407,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43842,77,5631,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43918,78,11042,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43919,79,1125,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43920,78,17067,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43921,78,5744,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43922,80,2547,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43923,77,17019,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43924,80,1133,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43925,79,5662,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43926,33,56,2011-01-31,2011-02-07,2011-02-12,3375,1,3375
SO43927,79,5663,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43928,78,5741,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43929,52,14271,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO43930,77,17039,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43931,78,2549,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43932,79,5742,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43933,37,32,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43934,36,35,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43935,46,9049,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43936,76,17066,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43937,77,6048,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43938,80,5687,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43939,77,5660,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43940,47,14295,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43941,79,2601,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43942,80,6052,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43943,42,3566,2011-02-03,2011-02-10,2011-02-15,699,1,699
SO43944,34,55,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43945,80,5676,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43946,78,5688,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43947,80,5713,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43948,35,48,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43949,80,16727,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43950,76,17015,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43951,76,5697,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43952,77,5640,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43953,44,9050,2011-02-05,2011-02-12,2011-02-17,699,1,699
SO43954,76,2603,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43955,79,2662,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43956,34,31,2011-02-05,2011-02-12,2011-02-17,3400,1,3400
SO43957,78,17069,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43958,77,5659,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43959,30,36,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43960,31,47,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43961,76,17032,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43962,77,17077,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43963,79,5686,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43964,77,5746,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43965,33,39,2011-02-07,2011-02-14,2011-02-19,3375,1,3375
SO43966,37,40,2011-02-07,2011-02-14,2011-02-19,3400,1,3400
SO43967,78,17041,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43968,78,17068,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43969,80,17072,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43970,76,5685,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43971,79,5658,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43972,79,10940,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43973,77,17040,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43974,77,2688,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43975,77,2541,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43976,80,17064,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43977,77,5704,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43978,80,17031,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43979,52,3577,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43980,33,49,2011-02-10,2011-02-17,2011-02-22,3375,1,3375
SO43981,79,5665,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43982,44,14272,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43983,79,17018,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43984,76,2546,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43985,78,2516,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43986,80,17071,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43987,80,17043,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43988,34,245,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43989,77,17084,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43990,34,14873,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43991,80,5661,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43992,76,5639,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43993,79,5930,2011-02-14,2011-02-21,2011-02-26,3578,1,3578
SO43994,79,16682,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43995,77,10814,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43996,80,16921,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43997,80,17023,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43998,30,34,2011-02-15,2011-02-22,2011-02-27,3375,1,3375
SO43999,76,17048,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO44000,76,16919,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44001,78,17045,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44002,47,3573,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44003,44,8326,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44004,80,17062,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44005,46,15630,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44006,80,5745,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44007,51,14556,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44008,77,16679,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44009,79,16760,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44010,80,2681,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44011,80,2515,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44012,31,53,2011-02-17,2011-02-24,2011-03-01,3375,1,3375
SO44013,77,5929,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44014,78,16918,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44015,76,2694,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44016,32,248,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44017,80,17079,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44018,32,14877,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44019,80,5702,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44020,76,5932,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44021,30,33,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44022,78,11009,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44023,31,8831,2011-02-19,2011-02-26,2011-03-03,3375,1,3375
SO44024,79,5664,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44025,79,5709,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44026,80,6046,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44027,80,10922,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44028,77,6049,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44029,32,51,2011-02-20,2011-02-27,2011-03-04,3375,1,3375
SO44030,76,1132,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44031,78,2690,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44032,34,244,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44033,79,5694,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44034,78,5703,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44035,77,5708,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44036,80,6047,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44037,49,14273,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO44038,34,14869,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44039,44,6972,2011-02-22,2011-03-01,2011-03-06,699,1,699
SO44040,33,58,2011-02-22,2011-03-01,2011-03-06,3375,1,3375
SO44041,78,5743,2011-02-22,2011-03-01,2011-03-06,3578,1,3578
SO44042,78,2679,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44043,76,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44044,79,2691,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44045,34,17395,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44046,78,17065,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44047,34,14879,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44048,79,5714,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44049,79,2539,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44050,80,6051,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44051,80,2692,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44052,79,5638,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44053,42,8330,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44054,79,2543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44055,80,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44056,79,2560,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44057,42,3578,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44058,32,57,2011-02-26,2011-03-05,2011-03-10,3375,1,3375
SO44059,78,5689,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44060,44,14274,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44061,80,16920,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44062,80,17042,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44063,34,241,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44064,80,11051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44065,80,17063,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44066,34,14868,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44067,80,6050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44068,78,2542,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44069,31,17396,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44070,31,8830,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44071,78,5692,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44072,76,5657,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44073,33,45,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44134,80,2822,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44135,80,17157,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44136,76,11115,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44137,79,6329,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44138,80,2766,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44139,76,2793,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44140,76,1222,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44141,78,2573,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44142,78,11059,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44143,78,17146,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44144,77,6072,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44145,80,6310,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44146,78,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44147,80,6321,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44148,80,17173,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44149,77,6243,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44150,77,6316,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44151,49,14559,2011-03-03,2011-03-10,2011-03-15,699,1,699
SO44152,36,335,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44153,77,17169,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44154,76,17182,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44155,78,17132,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44156,36,14888,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44157,79,6056,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44158,76,2568,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44159,76,17183,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44160,77,17187,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44161,79,2773,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44162,76,17186,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44163,79,17194,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44164,80,17089,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44165,78,6066,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44166,42,3582,2011-03-06,2011-03-13,2011-03-18,699,1,699
SO44167,79,6309,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44168,78,1212,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44169,76,17180,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44170,79,17184,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,78,17113,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44172,42,3585,2011-03-07,2011-03-14,2011-03-19,699,1,699
SO44173,77,2785,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44174,76,6230,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44175,78,6247,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44176,79,1221,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44177,32,338,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44178,77,17098,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44179,32,14889,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44180,37,59,2011-03-09,2011-03-16,2011-03-21,3400,1,3400
SO44181,77,6295,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44182,80,6300,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44183,80,17159,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44184,79,6248,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44185,80,6281,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44186,37,14890,2011-03-12,2011-03-19,2011-03-24,3400,1,3400
SO44187,78,6070,2011-03-12,2011-03-19,2011-03-24,3578,1,3578
SO44188,46,9053,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44189,52,9055,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44190,30,62,2011-03-13,2011-03-20,2011-03-25,3375,1,3375
