Theme,ProxyNPSClass,ReviewScore,QuoteEN,OrderID,LateFlag
Product quality,Detractor,1,"I've always had a good relationship with the stark store, no complaints, but when I acquired this HP toner, and installed it, in addition to the impression being very weak, I received the message of being a fake product.",93b055de61a2d8f6fb20ae3a2ca073f5,0
Product quality,Detractor,1,It's a piece of crap — my product came out wrong the voltage I asked for was 127v and sent 220 that nap is of no use to me already I've requested the exchange for the Lannister site but nap time no answer. I feel leezed.,80f1a60aab67dd9a56cc211cf8874382,0
Product quality,Passive,4,"Stark is once again to be congratulated on the speed in delivering the product. The Multimedia Center is the same used in the new Corolla, in the purchase had the back camera as a gift, until the present does not install",ea7835f19dc6af291955d6e270d443f4,0
Product quality,Passive,4,"Too small product. — It was delivered, but much product who from the requested. It came the very small measure, on the sales site the ideal would be to have a demonstrative link of; P, M, G and GG. Att; Laudenir Carvalho",21235c5a99a117c776a72a4de3276027,0
Product quality,Passive,4,"Approved — Product delivered before deadline, + n consider phenomenon, already q asked 20 days to deliver. I've already tested the control, td okay, the bluetooth was already working, it looks really original. Satisfied.",86f86502108b157c71437274d7a60be8,0
Product quality,Promoter,5,"Commitment — Product was delivered within the deadline, it was possible to carry out the screening and follow the steps. The apparatus came well packed, I carried out some tests and the operation is okay, quality product",3f728c09846bd39666acf05416a9fefa,0
Product quality,Promoter,5,"Excellent. — This supplier, partner of Lannister Stores is committed to its customers. Because he demonstrated professionalism and competence within the delivery time and in the quality of packaging the consumer product.",6dca57240c5cb67c2673be12f538a2fc,0
Product quality,Promoter,5,"I liked the delivery was super fast, only a manual in Portuguese was missing that explains how it works.I HAD TO SEE YOUTUBE AS WORKING.The quality of the image is not very good anymore I have fulfilled what it promises",eea701bd5c437bfaf0e473c9012e9aae,0
Packaging,Detractor,1,"I would like to know what to do, because the sound box came without the battery, in the box says it comes, but it did not come and there is no way to turn it on? Box too small, the site does not provide this information",8d4109569482ba175b5497482e79522a,0
Packaging,Detractor,1,"Open packaging — Open packaging. It takes more than 1 month to receive the merchandise. Do not buy in this store. lannister please post the negative comment, because when I recommend you to store, the counter does not",d47efef4161e33638c14122a723fd9fb,0
Packaging,Detractor,1,"Incomplete order — I did not receive the full order. My purchase was 3 pending and only one came in the box, but the invoice came from the three products. So far no one has answered my email of the complaint. I wait.",223f078a123f6e7b1374cc086dabfa69,0
Packaging,Passive,4,"They only made a mistake not sending the plate into an anti-statistical bag because, they sent in bubble bag White norm this plastic is not static can damage the plate Counseling to order in a pink bubble bag",6054edadd122478439d42520ff966ebb,1
Packaging,Passive,4,"The chair came unmounted, which is practical, I knew that detail. My husband rode without a hitch. The only observation I make is about the care of packaging. The parts of the chair (light, pull over)",9582525f4356350d097a44d90372e024,0
Packaging,Passive,4,"The packaging of the product does not match that of the site. The one I received came with the ""HD"" vertically and at the top, besides the description not being the same as the packaging of the site.",85bb0aae7a51f1e5e6541dded1f89a86,0
Packaging,Promoter,5,In the box it has been explaining how to make to use the bottle. I made tea with boiling water at 7am and when I went to take it at 1pm it was still almost boiling. Until about 7pm the temperature was still very hot,75707562c6865f8fd2172eff80a71210,0
Packaging,Promoter,5,"I got the product before the deadline and it's beautiful.. super recommend. The only negative thing is the box of the package that was very dirty and with mold marks or whatever, if it was present for someone...",18f4bd3e68ff66e98c8c5afefd502ee3,0
Packaging,Promoter,5,"I recommend it — everything came right but something strange happened, I asked for 5 pots and the 5 came but in 5 boxes, 1 pot in each box being that it fit everything in one box. I found a little over the top.",1bc2c38cb1ae7c211bef71067808a22f,0
Customer service,Detractor,1,"The lunch box was different from the backpack, and after contacting the seller, he reported that there was no color in stock for the exchange, and blamed the site for not allowing the photo and description to be changed.",cbd6f379c5785a99687a2e00ae57b270,0
Customer service,Detractor,1,"The nf 270 was issued with two toners, but only one was delivered. I have photos to prove it. I'm not going to evaluate the store for now, so I'm waiting for the other one because I paid two. The store lacked information",a756c394e02e7cc83cbcc594a969bf59,0
Customer service,Detractor,1,"It arrived dirty and with sticky paint. The led tape has already come taking off and the fountain is huge, making it impossible to install on the wall. It has no support to hang on wall, nor to support on table. Bad!!",06a7cc29c9ea73fb0e7d4dc3d9284a76,0
Customer service,Passive,4,"It was all very fast, the purchase, the payment and the arrival. Just missing the next product. What they left to wish was that I bought it for the site, but I sat at the store and the seller did not explain it to me.",d25cff887d30200ad3668bc69804a495,0
Customer service,Passive,4,"The physical store where I made the request temnum of the services I have already received in my life as a consumer, the employees barely look at the customers' faces and have no interest in providing a good service",fb8c006ccc9a5c06f63dc31bb472daf6,0
Customer service,Passive,4,"I am grateful for the service in the store and especially in the waiting time settled by the store, already it is the third time I buy in the exit of the store and had no trouble with the delivery ,thank you.",42b3efddacc3779b9fc72dcdb430e00a,0
Customer service,Promoter,5,"Perfect Service — I have nothing to complain about, it was my first purchase at the Lannister online store and it was very, very quiet, I followed everything by the APP (which by the way super indic.) Great service.",dbc0a83e6165e4eed41ed8ad3007194a,0
Customer service,Promoter,5,"I do not recommend the store, because the return process is slow, there is no contact via phone only by email q delay mto and does not clarify all the information.I bought notebook with fault.I am sorry to resolve",715db622428425d51cc31f65a8b82eb0,0
Customer service,Promoter,5,"It is my second purchase of this screen. The first screen I had to return (was from another store), because the seller sent me a screen from another computer. This seller (Ollist) sent me the correct screen!!!",480ee2078a3e46f9d5e2fc737ca22b10,0
Price & value,Detractor,1,"I always buy at the Lannister, but I decended this time. I had to pick up the product at the post office and paid for the expensive freight. It was alleged that there was no one at home but myself was off.",9ac562006aa17a79364b32560651dd5b,0
Price & value,Detractor,1,I acquired two HP cartridges and the printer detected that they were faked. Nothing in the ad indicated that they would be remanufactured or compatible and I paid the price of originals. I feel wrong.,a8f2b9f64cddf499563efdb804537781,0
Price & value,Detractor,1,"I was fooled... — I bought the rug with the 2.50 x2.50 footage and they sent me the 2.0 x 2.50 footage, and on the site the value of this footage they sent me is well below the amount I paid...",70a3acb4b096f675be6a2e03e2fb67bd,0
Price & value,Passive,4,"I always buy with you,, now I'm going to buy a mobile phone, want to j 7 gran prime what the value ? you have a good price for me if you can send p min q I have a lot of enterese in getting this product thanks for the",80128feb8f15a7ebaa8371aa0a718604,0
Price & value,Passive,4,I thought the freight was kind of expensive because it was a light product. The cover slightly hinders the use of the biometric sensor and it is difficult to remove the last layer of the pelicula during application;,da286fe249fa752e4b234df260764f06,0
Price & value,Passive,4,"I'm impressed with the agility in delivery. I really recommend it, not counting the price, because I've been watching this product for months and now that the price has gone down I can get it to organize my enamels.",7cd9adb43a8f23fee278ae5e79d4c957,0
Price & value,Promoter,5,"I confess that I was afraid to buy because of the previous comment as taste does not discuss. I bought the towel arrived is very beautiful, it is large, it is not only brand, it is a little lower. It is worth the price",2c02d17ab6c97e9a58c6bf900a39aa46,0
Price & value,Promoter,5,"Good seller — Lower price I found between physical and virtual stores. I haven’t used the product yet, but it came in perfect condition. Only point is that since I bought 2 boxes, I had to pay twice the freight.",9fe32da158d0f7c1adb336ad3b69839b,0
Price & value,Promoter,5,"The painting is very beautiful, well done, I would buy up to three. I liked it very much, I recommend it for everyone who wants to buy. It is not a big hip, but the size is worth its beauty and resistance.",50d73aae647c6c12616d5bf9e6aee1c2,0
General praise,Passive,4,"Attention — When buying the electric grill pan the photos lead us to believe that its depth is the same as the outside of the pan, it is not, it is too shallow, it led me to believe that it was deep as others I saw.",4ea3c6eaf3dc15ad857675322bfb6bd0,0
General praise,Passive,4,"It was easy to assemble, although some smaller pieces do not fit perfectly (but this does not compromise the use of the chair). The color is clay, not the light red that you expected. It is comfortable, I recommend",7425d957984121c030d282eb7cfdca25,0
General praise,Passive,4,"I liked the blanket, it only leaves to be desired in relation to the heating. Weak and in a single point. Only in the cervical. I bought pq was different from the other blankets, (more in account) by the heating.",6acd3616b7579eb36261469ad2177fda,0
General praise,Promoter,5,All right! — wonderful ..... Ameiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii.,d3baa30209aa87ddd816648e62d16cc4,0
General praise,Promoter,5,"I loved the merchandise, the mirrors are like the ones in the ad, the glue is super resistant, it doesn't drop from the wall and it comes with a protective film that protects the mirrors from scratches. I recommend.",5b30ad24f4e7ba20015ff2f3c2c30aa5,0
General praise,Promoter,5,"I haven't installed it yet, but I liked the supplier calling to confirm whether it was for sending gas or bottling gas... He prevented the heater from coming out wrong and managed to adjust the request for GN gas...",af6abe9c52e60044f9a708a55cb9b189,0
General complaint,Detractor,1,"I bought copper king bed of piquet and was delivered an adamaskado, not the published one. I tried to talk and I couldn’t get it, I emailed the ombudsman, but I didn’t get it back, I kept the photo of the publicized one.",4f5045d7a7d322ba928da791f6d5c9f4,0
General complaint,Detractor,1,"Wrong watch Euro Brand — I was very sad because I asked for a watch, I had not cancelled my order and yet sent another one.Detail I had already said I did not want another model, summarizing I asked for card extortion.",9c020760091717505c5fae8c935f047c,0
General complaint,Detractor,1,"The watch is a piece of garbage. It fits a lawsuit here against the Lannister for selling counterfeit merchandise, because the photo clearly shows MVMT. When something is a copy in general, at least the brand changes.",dbbf7d93d5012798df65f08137f99a65,0
Other,Detractor,3,"Good evening, I couldn't put the tray on the triple, because I don't know and it didn't come manual how to put it and I don't know how to install the tray in the middle of the triple, I ask for a manual of nstalar..",acd8818cd21fdfa62f891ceb60326435,0
Other,Detractor,3,"I've tried a number of times to get in touch with the station to find out information about neubprodict, it's just on the answering machine, when I actually wanted to talk to an attending, critical for improvements.",0fb1f7c7042e9fa84d8d415c5fdec5c9,1
Other,Detractor,3,"The cartridge looks the same/compatible, but does not fit the machine perfectly. I checked the order and the codes and are correct, the failure is fitting. Luckily it fits into another machine using the same type of",fcf380438c697a895901151d7a333c5c,0
